clinton,trump,pop645213,poverty
0.0958466453674121,0.87220447284345,1.2,17.7
0.0900900900900901,0.871299871299871,0.2,13.7
0.108132260947274,0.870866845397676,7.3,13.1
0.092511013215859,0.870778267254038,0.7,12.9
0.114178949553664,0.870354992734067,0.2,15.7
0.0502431118314425,0.870340356564019,1.8,25.4
0.0881823635272945,0.869226154769046,0.4,11.2
0.118421052631579,0.868421052631579,1.9,8.7
0.115038115038115,0.868329868329868,0.8,30.3
0.110584518167457,0.867298578199052,11.6,15.1
0.0937829293993678,0.86722866174921,3.5,8.1
0.111209701271813,0.866755397811298,0.7,37.7
0.0882723833543506,0.866330390920555,0.3,10
0.111896178803172,0.866330209084355,4,19
0.105094757568299,0.866231848387891,6.2,15.8
0.104477611940299,0.865671641791045,0.9,5.9
0.107291049199763,0.865441612329579,11.9,11.7
0.0940438871473354,0.865203761755486,0.4,11.1
0.0912032950867902,0.864960282436011,3.3,12.6
0.102893890675241,0.864951768488746,17.8,13.7
0.121401151631478,0.86468330134357,4.2,15.9
0.123749486090174,0.86350555022612,2.3,20.5
0.103189493433396,0.863039399624766,0.4,13.3
0.122721749696233,0.862832455785068,5.6,17.7
0.122731941116056,0.861691201643273,1,20.2
0.11620904724353,0.860993619614309,4.1,18.4
0.122057273366128,0.860857343640197,1.5,10.9
0.120053120849934,0.860823373173971,5.5,21.9
0.0886661526599846,0.860447185813416,0.6,16.3
0.12446898895497,0.860237892948173,7.4,15.2
0.11399843301123,0.860146252285192,5.7,16
0.132270573028867,0.859974149073675,1.7,25.8
0.10484032938341,0.858606145812412,2,10.2
0.0966183574879227,0.857487922705314,1.1,12.8
0.12041675015027,0.857142857142857,1.9,25.2
0.11913357400722,0.856438026474128,2,17.6
0.112084063047285,0.856392294220666,0.2,10.5
0.132765957446808,0.856170212765957,17.1,31.3
0.0957446808510638,0.855939716312057,1.6,12.8
0.122810956443646,0.8551863493489,1.3,24.4
0.130542928209967,0.854876061411785,1.8,21.2
0.111500974658869,0.85458089668616,1.4,16
0.124209315698677,0.854514088556642,1.4,20.3
0.109749872383869,0.853496681980602,0.5,14.9
0.114451988360815,0.852570320077595,3.8,12.4
0.106703910614525,0.852513966480447,0.5,5.6
0.125649913344887,0.851819757365685,12,20.4
0.119136377757067,0.851506679092886,1.2,26.8
0.123978201634877,0.85149863760218,10.5,18.6
0.124360557417534,0.851472922914094,0.6,19.9
0.106682297772567,0.851113716295428,2.7,17.4
0.102855288773524,0.851070733290071,1.6,13
0.135526468203406,0.850110042858798,6,8.3
0.12872884872516,0.850016137212412,4.4,16.4
0.127699180938198,0.849683544303797,0.4,31.3
0.128016085790885,0.849195710455764,2.4,15.4
0.108603667136812,0.849083215796897,2.6,9.3
0.112198795180723,0.848644578313253,0.4,10.3
0.107457156090783,0.848540991199629,13.4,11.3
0.131124526182788,0.848518882493332,0.4,28.3
0.129529182035149,0.847689303536559,19.2,16.8
0.112834978843441,0.847672778561354,0.7,5.8
0.111498257839721,0.847386759581882,1.9,12.7
0.126353790613718,0.847172081829122,1.4,14.2
0.13272374619008,0.84677195899141,3,12.6
0.0866510538641686,0.846604215456675,1.6,13.9
0.133693304535637,0.846436285097192,4.1,13.6
0.130246531766369,0.846425731200848,1.4,22.8
0.125,0.846074380165289,0.2,13
0.123630136986301,0.845890410958904,3.8,15.6
0.120450606585789,0.845701906412478,1.8,13.3
