clinton,trump,edu_batchelors,nonenglish
0.111498257839721,0.847386759581882,19,8.3
0.126353790613718,0.847172081829122,16.5,10
0.13272374619008,0.84677195899141,17.8,7.6
0.0866510538641686,0.846604215456675,24.7,0.7
0.133693304535637,0.846436285097192,11,7.2
0.130246531766369,0.846425731200848,14.1,1.7
0.125,0.846074380165289,13.8,1.4
0.123630136986301,0.845890410958904,24.4,4.8
0.120450606585789,0.845701906412478,17.5,4.5
0.12565445026178,0.845549738219895,12.6,0.5
0.0983606557377049,0.845433255269321,22.5,1.7
0.109722222222222,0.844444444444444,13.8,2.4
0.122900763358779,0.844274809160305,16.5,1.5
0.116028062601187,0.844036697247706,17.6,28.9
0.11832298136646,0.843788819875776,16.7,3.5
0.10672082717873,0.843426883308715,18.5,5.5
0.126937984496124,0.843386627906977,11.8,2.3
0.113366526235159,0.842589046342398,18.3,1.5
0.101953601953602,0.842490842490842,18.8,3.5
0.105095541401274,0.841825902335457,18.3,2.1
0.134064956250927,0.841761827079935,11.8,1.5
0.10873786407767,0.841747572815534,13,11.8
0.130753138075314,0.841317991631799,10.2,1.1
0.127878490935816,0.84125428711416,18.2,13
0.127913279132791,0.841192411924119,16.3,2.2
0.118029739776952,0.841078066914498,21.3,11.4
0.140727233723051,0.840984661589617,17,7
0.115685917289124,0.840954636545819,21,2.2
0.114802354920101,0.840622371740959,20.9,2.8
0.121298949379179,0.840496657115568,19.9,1.8
0.123260437375746,0.839960238568588,22.6,7.6
0.133765756945294,0.839921674213683,11.9,1.7
0.133915409910421,0.839777752579658,10.2,5.6
0.149329101139807,0.839561390852691,9.5,1
0.13013698630137,0.839041095890411,16.7,8.6
0.145702902675014,0.83892999430848,12.4,0.6
0.136853125934789,0.83891714029315,10.9,0.5
0.145101399600114,0.838712748738456,12.8,1.1
0.130434782608696,0.838466183574879,10.5,1.4
0.142824207492795,0.838386167146974,17,1.8
0.138356108835814,0.837557276671668,16.1,13.5
0.13932712412089,0.836913134385098,14.4,28.7
0.151371571072319,0.836907730673317,12.1,8.6
0.125,0.836206896551724,17.5,18.8
0.150398280440005,0.835883171070932,14.2,2.1
0.135868869253426,0.835830452042515,8.7,1
0.134018880647336,0.835805799055968,16.9,3.2
0.142990654205607,0.835781041388518,8.4,4.1
0.108504398826979,0.835777126099707,20,3.9
0.115013865046877,0.835732206523174,17.8,6.1
0.121287128712871,0.835643564356436,10.6,0.7
0.121917808219178,0.835616438356164,19.9,3.2
0.140511940511941,0.835607035607036,15.2,11.5
0.127241333510426,0.835037853632621,16.4,8.8
0.110497237569061,0.834944751381215,23.3,5.3
0.141148508778655,0.834892279383577,10.7,11.2
0.14106040066275,0.834237083898177,13.3,1.7
0.150241647404917,0.83420886740912,9.5,2.3
0.11053412462908,0.833827893175074,15.6,4.1
0.133333333333333,0.833644859813084,16.7,6.3
0.144082332761578,0.833619210977702,16.1,13.8
0.141396080675154,0.833285652982406,22.5,3.9
0.146683974510267,0.83242860514515,13,4.9
0.127084988085782,0.832406671961874,18,5.1
0.146295173577247,0.832406357909165,15.5,2.5
0.144823699887297,0.832394139430043,9.6,13.1
0.126062043074491,0.832246591582691,19.5,2.6
0.127052722558341,0.832108902333621,18,6
0.121447028423773,0.832041343669251,16,4.1
0.133427963094393,0.831795599716111,21.7,3.3
0.14415460977928,0.831766818037808,10.7,1.3
0.123888045129095,0.831416793230636,21.7,3.4
0.136258660508083,0.831408775981524,23.1,6.7
0.097972972972973,0.831081081081081,21.6,8.9
